id,Description,RFQ_Description,Color,Basis_WT,M_Weight,Basic_Area,Caliper,Size_Width,Size_Length,Supplier_ID,Supplier_Name,Suplier_Item,Costing_Method,Primary_Valuation,_GL_Expense_Code,UserDefined_1,UserDefined_2,UserDefined_3,Unit_Cost,PO_Unit_Cost
1110390,ChorusArt Digital Text Silk,ChorusArt Digital Text Silk,White,80,31.5,4,0.004,11,17,10259,Spicers US,1110390,2,1,4510.02,600,,Updated_Prices_6_21_RF,48.032608,46.6336
1110412,ChorusArt Digital Text Silk,ChorusArt Digital Text Silk,White,80,36.38,4,0.004,12,18,10259,Spicers US,1110412,2,1,4510.02,1200,,Updated_Prices_6_21_RF,35.0732304,34.05168
1110415,ChorusArt Digital Text Silk,ChorusArt Digital Text Silk,White,100,52,4,0.0051,13,19,10259,Spicers US,1110415,2,1,4510.02,1000,,Updated_Prices_6_21_RF,50.13216,48.672
1110302,ChorusArt Text Gloss,ChorusArt Text Gloss,White,70,70,4,0.0032,19,25,10259,Spicers US,1110302,2,1,4510.02,,22000,Updated_Prices_6_21_RF,49.48944,48.048
1110303,ChorusArt Text Gloss,ChorusArt Text Gloss,White,70,127,4,0.0032,24,36,10259,Spicers US,1110303,2,1,4510.02,,11000,Updated_Prices_6_21_RF,89.787984,87.1728
1110304,ChorusArt Text Gloss,ChorusArt Text Gloss,White,70,165,4,0.0032,28,40,10259,Spicers US,1110304,2,1,4510.02,,11000,Updated_Prices_6_21_RF,116.65368,113.256
1110305,ChorusArt Text Gloss,ChorusArt Text Gloss,White,80,80,4,0.0038,19,25,10259,Spicers US,1110305,2,1,4510.02,,18000,Updated_Prices_6_21_RF,56.55936,54.912
1110306,ChorusArt Text Gloss,ChorusArt Text Gloss,White,80,146,4,0.0038,24,36,10259,Spicers US,1110306,2,1,4510.02,,9000,Updated_Prices_6_21_RF,103.220832,100.2144
1110307,ChorusArt Text Gloss,ChorusArt Text Gloss,White,80,189,4,0.0038,28,40,10259,Spicers US,1110307,2,1,4510.02,,9000,Updated_Prices_6_21_RF,133.621488,129.7296
1110308,ChorusArt Text Gloss,ChorusArt Text Gloss,White,100,100,4,0.0047,19,25,10259,Spicers US,1110308,2,1,4510.02,,15000,Updated_Prices_6_21_RF,70.6992,68.64
1110309,ChorusArt Text Gloss,ChorusArt Text Gloss,White,100,182,4,0.0047,24,36,10259,Spicers US,1110309,2,1,4510.02,,7500,Updated_Prices_6_21_RF,128.672544,124.9248
1110310,ChorusArt Text Gloss,ChorusArt Text Gloss,White,100,236,4,0.0047,28,40,10259,Spicers US,1110310,2,1,4510.02,,7500,Updated_Prices_6_21_RF,166.850112,161.9904
1110331,ChorusArt Text Gloss,ChorusArt Text Gloss,White,60,104,4,0.0028,23.5,35,10259,Spicers US,1110331,2,1,4510.02,,13000,Updated_Prices_6_21_RF,76.869312,74.6304
1110332,ChorusArt Text Gloss,ChorusArt Text Gloss,White,60,109,4,0.0028,24,36,10259,Spicers US,1110332,2,1,4510.02,,13000,Updated_Prices_6_21_RF,80.564952,78.2184
